Date	Open	High	Low	Close	Volume
Aug 23, 2016	7,923.77	7,951.42	7,922.22	7,923.40	10,753,882
Aug 22, 2016	7,914.21	7,914.39	7,871.26	7,894.77	12,195,960
Aug 19, 2016	7,905.07	7,943.20	7,883.75	7,930.35	15,496,329
Aug 18, 2016	7,879.12	7,922.06	7,871.99	7,922.06	13,135,229
Aug 17, 2016	7,851.83	7,886.79	7,829.93	7,882.47	12,588,324
Aug 16, 2016	7,836.97	7,864.07	7,824.11	7,850.79	12,489,640
Aug 15, 2016	7,820.40	7,891.97	7,819.36	7,852.56	12,363,587
Aug 12, 2016	7,833.86	7,833.86	7,791.59	7,807.18	11,402,364
Aug 11, 2016	7,803.89	7,871.29	7,803.89	7,846.65	12,517,783
Aug 10, 2016	7,835.57	7,843.24	7,791.53	7,802.92	11,502,334
Aug 9, 2016	7,878.33	7,895.57	7,830.05	7,836.78	11,180,775
Aug 8, 2016	7,873.20	7,937.11	7,860.45	7,869.31	14,729,230
Aug 5, 2016	7,753.49	7,869.13	7,753.49	7,866.57	19,425,235
Aug 4, 2016	7,705.94	7,727.93	7,667.32	7,720.01	13,482,334
Aug 3, 2016	7,659.59	7,719.80	7,656.24	7,711.36	16,091,894
Aug 2, 2016	7,789.76	7,792.71	7,622.92	7,648.44	21,472,654
Aug 1, 2016	7,843.67	7,861.21	7,794.69	7,815.65	13,952,448
Jul 29, 2016	7,848.97	7,881.65	7,807.73	7,846.41	19,686,312
Jul 28, 2016	7,849.33	7,879.21	7,779.16	7,864.13	13,850,516
Jul 27, 2016	7,980.11	7,980.11	7,831.18	7,861.45	18,555,627
Jul 26, 2016	7,903.36	7,980.87	7,899.59	7,980.30	19,121,726
Jul 25, 2016	7,969.09	7,969.09	7,886.40	7,892.95	14,684,108
Jul 22, 2016	7,875.59	7,972.53	7,861.36	7,965.98	17,962,165
Jul 21, 2016	7,926.57	7,926.57	7,842.02	7,858.59	24,312,403
Jul 20, 2016	7,972.38	8,021.96	7,945.27	7,962.33	16,637,913
Jul 19, 2016	7,956.05	7,979.72	7,914.57	7,961.47	13,991,277
Jul 18, 2016	7,973.90	7,996.44	7,928.64	7,972.86	14,177,382
Jul 15, 2016	8,018.37	8,018.61	7,969.82	7,985.17	21,142,574
Jul 14, 2016	7,959.04	8,048.09	7,959.04	8,015.93	23,157,499
Jul 13, 2016	7,896.54	7,952.49	7,841.14	7,930.71	24,652,976
Jul 12, 2016	7,738.84	7,891.00	7,738.84	7,879.06	22,868,476
Jul 11, 2016	7,705.82	7,752.54	7,687.82	7,711.91	17,300,511
Jul 8, 2016	7,542.57	7,707.47	7,542.57	7,683.28	20,041,752
Jul 7, 2016	7,460.77	7,550.30	7,458.39	7,492.56	14,718,643
Jul 6, 2016	7,432.26	7,462.84	7,328.86	7,458.03	20,796,253
Jul 5, 2016	7,532.83	7,532.83	7,402.17	7,462.05	18,051,634
Jul 1, 2016	7,505.11	7,587.65	7,500.48	7,557.62	16,587,996
Jun 30, 2016	7,416.85	7,485.13	7,341.93	7,485.13	23,840,366
Jun 29, 2016	7,278.03	7,440.70	7,278.03	7,412.95	21,111,131
Jun 28, 2016	7,143.29	7,253.42	7,143.29	7,252.63	24,728,955
Jun 27, 2016	7,267.49	7,267.49	7,029.41	7,093.40	32,106,321
Jun 24, 2016	7,652.28	7,652.28	7,293.87	7,320.55	49,813,563
Jun 23, 2016	7,641.13	7,696.81	7,624.14	7,671.53	17,137,421
Jun 22, 2016	7,635.28	7,644.73	7,589.66	7,600.20	15,325,707
Jun 21, 2016	7,651.43	7,678.32	7,595.51	7,649.29	18,203,621
Jun 20, 2016	7,636.68	7,757.23	7,636.68	7,672.62	16,806,760
Jun 17, 2016	7,547.20	7,623.59	7,532.65	7,589.84	33,436,740
Jun 16, 2016	7,546.23	7,558.59	7,440.73	7,546.11	20,387,298
Jun 15, 2016	7,579.85	7,659.62	7,563.01	7,569.07	17,807,772
Jun 14, 2016	7,670.43	7,701.19	7,523.26	7,564.81	19,576,917
